user_id,user_pop
2636931,1.0
248,1.0
2632909,1.0
2588429,1.0
2590437,1.0
2591426,1.0
2594211,1.0
2584937,1.0
2587885,1.0
2575096,1.0
2577021,1.0
60040,1.0
54349,1.0
57229,1.0
44446,1.0
39245,1.0
42451,1.0
2565539,1.0
2567155,1.0
2554238,1.0
2556628,1.0
2547709,1.0
2549013,1.0
2544126,1.0
2544746,1.0
2546099,1.0
2546329,1.0
2537295,1.0
2529394,1.0
2533010,1.0
2523529,1.0
2512155,1.0
2493824,1.0
2483924,1.0
2483995,1.0
2471064,1.0
2474884,1.0
2468045,1.0
2457127,1.0
82082,1.0
85733,1.0
77172,1.0
70157,1.0
63313,1.0
65094,1.0
2449238,1.0
2449375,1.0
2442150,1.0
2433276,1.0
2435777,1.0
2421783,1.0
2426338,1.0
2415243,1.0
2403176,1.0
2406294,1.0
2410120,1.0
2401691,1.0
2389475,1.0
2391630,1.0
2378144,1.0
2362089,1.0
2366867,1.0
2352685,1.0
2353468,1.0
2358421,1.0
2359321,1.0
2352117,1.0
2338713,1.0
109832,1.0
100720,1.0
102445,1.0
102521,1.0
90296,1.0
92259,1.0
93514,1.0
89218,1.0
2334142,1.0
2335134,1.0
2321333,1.0
2323225,1.0
2309950,1.0
2310936,1.0
2305936,1.0
2294261,1.0
2287797,1.0
2288772,1.0
2292761,1.0
2280778,1.0
2282228,1.0
2277880,1.0
2278954,1.0
2267271,1.0
2267796,1.0
2265083,1.0
2255508,1.0
2259216,1.0
2261047,1.0
2249075,1.0
2248758,1.0
2240001,1.0
138698,1.0
126891,1.0
2223105,1.0
2228342,1.0
2220738,1.0
2213512,1.0
2208453,1.0
2202161,1.0
2205708,1.0
2196709,1.0
2194014,1.0
2194803,1.0
2194937,1.0
2188502,1.0
2178024,1.0
2180907,1.0
2171249,1.0
2171678,1.0
2169005,1.0
2152019,1.0
2155259,1.0
2133835,1.0
2123760,1.0
2118472,1.0
2122997,1.0
2108352,1.0
2093384,1.0
2087769,1.0
2090679,1.0
2082501,1.0
2085846,1.0
2070226,1.0
2070471,1.0
155278,1.0
157001,1.0
151981,1.0
145718,1.0
147313,1.0
147652,1.0
2065185,1.0
2066178,1.0
2067701,1.0
2068194,1.0
2055584,1.0
2057018,1.0
2058225,1.0
2060776,1.0
2049243,1.0
2051585,1.0
2042074,1.0
2044492,1.0
2028158,1.0
2035894,1.0
2014609,1.0
2014736,1.0
2007659,1.0
2011765,1.0
2013051,1.0
2001649,1.0
2004313,1.0
2005683,1.0
1997834,1.0
1989255,1.0
1989770,1.0
1989840,1.0
178254,1.0
182313,1.0
171471,1.0
175442,1.0
164950,1.0
168098,1.0
161803,1.0
1982936,1.0
1970724,1.0
1973361,1.0
1975067,1.0
1967160,1.0
1969816,1.0
